"DealerName","DealerGuid","DealerId","Website","Domain","AntalBiler"
"Autopunkt.dk A/S","dcd194c0-feca-df11-9e98-0025b3e6b7d8","8644","https://www.autopunkt.dk/","autopunkt.dk","9"
"Jørgen Hansen Biler A/S","8d113442-fdca-df11-9e98-0025b3e6b7d8","2112","https://www.jh-biler.dk/","jh-biler.dk","9"
"Volkswagen Sønderborg","3858beac-be98-e911-b62c-0050568635ef","12770","https://vw-soenderborg.dk/","vw-soenderborg.dk","9"
"T. P. Auto I/S","56c75162-8749-e911-9625-0050568635ef","12655",,"","9"
"Andersen & Martini A/S","60a7c29f-fbd8-df11-a986-0025b3e6b7d8","5383","https://www.am.dk/","am.dk","9"
"Autohuset D.A ApS","cc1a4c4d-8847-4bc7-aa44-31df55146bf2","20179",,"","9"
"Ejner Hessel A/S","3fe18e10-e94a-4d2d-8073-95a7c643b46c","22112","https://www.hessel.dk/","hessel.dk","9"
"MDK Biler","9af81081-a62a-e911-8de8-0050568635ef","12611","https://mdkbiler.dk/","mdkbiler.dk","9"
"CL Leasing ApS","87c8c026-250a-eb11-bcc8-0050568635ef","13220","https://clleasing.dk/","clleasing.dk","9"
"Tesla Motors Denmark ApS - Ribe","4185a017-09ad-eb11-9499-0050568635ef","13408","https://www.tesla.com/da_DK/inventory/used/my?arrangeby=plh&range=0","tesla.com","9"
"Trend Auto ApS","c3f9931a-b97e-ec11-a3c3-0050568649c9","14645","https://www.trendauto.dk","trendauto.dk","9"
"Kinnerup Auto Kommission","fa779b93-06ec-e811-bc8d-0050568635ef","12542","http://www.kautok.dk/","kautok.dk","9"
"Ejner Hessel Albertslund","19314136-fdca-df11-9e98-0025b3e6b7d8","1311","https://www.hessel.dk","hessel.dk","9"
"Simple Leasing A/S","54185b40-08cf-e911-936f-0050568635ef","12831","https://simpleleasing.dk/","simpleleasing.dk","8"
"Terminalen Birkerød A/S","cfe678af-ffca-df11-9e98-0025b3e6b7d8","1333","https://www.terminalen.dk/alle-brugte-biler","terminalen.dk","8"
"Brdr. Jensen Sales ApS","0277d792-78c4-4605-bc41-710f0d033945","20352","https://www.jensensales.dk","jensensales.dk","8"
"Aunsbjerg Odense A/S","7c91ff71-fdca-df11-9e98-0025b3e6b7d8","1954","https://www.aunsbjerg.com/","aunsbjerg.com","8"
"ERA BILER A/S - Hillerød","4af3df8f-fdca-df11-9e98-0025b3e6b7d8","6290","https://www.erabiler.dk/","erabiler.dk","8"
"Strand Biler A/S","1de44ea4-1056-e911-9625-0050568635ef","12681","https://strand-biler.dk/","strand-biler.dk","8"
